Tbl_ID,im_id,title,releasedYear,Genre,Director,Writter,actors,moviePlot,PreprocessedPlot,imdb_votes,imdb_rating,keywords,PolarityConfidence,cluster
186,tt0054167,Peeping Tom,1960,"Drama, Horror, Thriller",Michael Powell,"Leo Marks (original story), Leo Marks (screenplay)","Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley","Mark Lewis, works as a focus puller in a British film studio. On his off hours, he supplies a local porno shop with cheesecake photos and also dabbles in filmmaking. A lonely, unfriendly, sexually repressed fellow, Mark is obsessed with the effects of fear and how they are registered on the face and behavior of the frightened. This obsession dates from the time when, as a child, he served as the subject of some cold-blooded experiments in the psychology of terror conducted by his own scientist father. As a grown man, Mark becomes a compulsive murderer who kills women and records their contorted features and dying gasps on film. His ongoing project is a documentary on fear. With 16mm camera in hand, he accompanies a prostitute to her room and stabs her with a blade concealed in his tripod, all the while photographing her contorted face in the throes of terror and death. Alone in his room, he surrounds himself with the sights and sounds of terror: taped screams, black-and-white ""home movies"" of convulsed faces. At his house, he meets Helen Stephens, a young woman who lives with her blind mother in a downstairs flat. She visits his flat, where he shows her black-and-white films that were taken of him when he was a child. She is horrified to see that his father used him as a guinea pig in various experiments, taking movies of his reactions of fear.",mark lewis work focus puller british film studio off hour supply local porno shop cheesecake photo also dabbles filmmaking lonely unfriendly sexually repressed fellow mark obsessed effect fear registered face behavior frightened obsession date time child served subject coldblooded experiment psychology terror conducted scientist father grown man mark becomes compulsive murderer kill woman record contorted feature dying gasp film ongoing project documentary fear mm camera hand accompanies prostitute room stab blade concealed tripod photographing contorted face throe terror death alone room surround sight sound terror taped scream blackandwhite home movie convulsed face house meet helen stephen young woman life blind mother downstairs flat visit flat show blackandwhite film taken child horrified see father used guinea pig various experiment taking movie reaction fear,24621,7.7," mark lewis work, focus puller, british film studio, hour supply, local porno shop cheesecake, fellow mark, obsessed effect, fear registered, face behavior, frightened obsession, date time child, coldblooded experiment psychology terror conducted, scientist father, grown man mark becomes, compulsive murderer, kill woman, record contorted, feature dying, gasp film, ongoing project, documentary fear mm camera, hand accompanies, prostitute room, stab blade, tripod photographing, contorted face, throe terror death, room surround, sound terror, scream blackandwhite home movie convulsed, face house meet, helen stephen, young woman life, mother downstairs, flat visit, flat show blackandwhite film taken, child horrified, used guinea pig, various experiment, taking movie, reaction fear",63.6364,8
187,tt0054189,Purple Noon,1960,"Crime, Drama, Thriller",René Clément,"Patricia Highsmith (novel), René Clément (adaptation), Paul Gégauff (adaptation)","Alain Delon, Maurice Ronet, Marie Laforêt, Erno Crisa","Tom Ripley is sent to Europe by Mr. Greenleaf to fetch his spoiled, playboy son, Philippe, and bring him back home to the States. In return, Tom will receive $5,000. Philippe toys with Tom, pretending he will go back home, but has no intentions of leaving his bride to be, Marge, and honoring his father's wishes. After some time passes, Mr. Greenleaf considers the mission a failure and cuts Tom off. Tom, in desperation, kills Philippe, assumes his identity, and lives the life of a rich playboy. However, he will need all his conman abilities to keep Philippe's friends and the police off the trail.",tom ripley sent europe mr greenleaf fetch spoiled playboy son philippe bring back home state return tom will receive philippe toy tom pretending will go back home no intention leaving bride marge honoring father wish time pass mr greenleaf considers mission failure cut tom off tom desperation kill philippe assumes identity life life rich playboy however will need conman ability keep philippes friend police off trail,10807,7.8," tom ripley, sent europe, mr greenleaf fetch, playboy son philippe bring, home state return, receive philippe, toy tom pretending, intention leaving bride marge, father wish time, pass mr greenleaf, considers mission, failure cut tom, tom desperation, philippe assumes identity life, life rich playboy, conman ability, keep philippes friend",10,3
188,tt0054195,Pollyanna,1960,"Drama, Family",David Swift,"Eleanor H. Porter (novel), David Swift (written for the screen by)","Hayley Mills, Jane Wyman, Richard Egan, Karl Malden","A little girl comes to a town that is embattled by feuds and intimidated by her aunt. By the time she must leave, she has transformed the community with her indominatable will to see the good side of even the worst situations and bring it out for the betterment of all.",little girl come town embattled feud intimidated aunt time must leave transformed community indominatable will see good side even worst situation bring betterment,7609,7.4," girl come, town embattled feud, aunt time, transformed community, good side, even worst situation, bring betterment",100,8
189,tt0054215,Psycho,1960,"Horror, Mystery, Thriller",Alfred Hitchcock,"Joseph Stefano (screenplay by), Robert Bloch (based on the novel by)","Anthony Perkins, Vera Miles, John Gavin, Janet Leigh","Phoenix officeworker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks and they cannot get married because Sam has to give most of his money away in alimony. One Friday Marion is trusted to bank $40,000 by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into The Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.",phoenix officeworker marion crane fed up way life treated meet lover sam lunch break can not get married sam give money away alimony friday marion trusted bank employer seeing opportunity take money start new life marion leaf town head towards sam california store tired long drive caught storm get off main highway pull bates motel motel managed quiet young man called norman seems dominated mother,486799,8.5," phoenix officeworker marion, crane fed, way life, lover sam lunch break, married sam, give money, friday marion, trusted bank, employer seeing, opportunity take, money start new life, marion leaf, town head, sam california store, long drive caught storm get, main highway pull bates, motel motel, young man, dominated mother",98.1818,1
190,tt0054331,Spartacus,1960,"Adventure, Biography, Drama",Stanley Kubrick,"Dalton Trumbo (screenplay), Howard Fast (based on the novel by)","Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton","In 73 BCE, a Thracian slave leads a revolt at a gladiatorial school run by Lentulus Batiatus. The uprising soon spreads across the Italian Peninsula involving thousand of slaves. The plan is to acquire sufficient funds to acquire ships from Silesian pirates who could then transport them to other lands from Brandisium in the south. The Roman Senator Gracchus schemes to have Marcus Publius Glabrus, Commander of the garrison of Rome, lead an army against the slaves who are living on Vesuvius. When Glabrus is defeated his mentor, Senator and General Marcus Licinius Crassus is greatly embarrassed and leads his own army against the slaves. Spartacus and the thousands of freed slaves successfully make their way to Brandisium only to find that the Silesians have abandoned them. They then turn north and must face the might of Rome.",bce thracian slave lead revolt gladiatorial school run lentulus batiatus uprising soon spread across italian peninsula involving thousand slave plan acquire sufficient fund acquire ship silesian pirate transport land brandisium south roman senator gracchus scheme marcus publius glabrus commander garrison rome lead army slave living vesuvius glabrus defeated mentor senator general marcus licinius crassus greatly embarrassed lead army slave spartacus thousand freed slave successfully make way brandisium find silesians abandoned turn north must face might rome,106748,7.9," bce thracian, lead revolt, gladiatorial school run, batiatus uprising, italian peninsula, involving thousand slave, plan acquire sufficient fund, silesian pirate transport land, brandisium south, roman senator, gracchus scheme marcus publius, glabrus commander garrison, lead army, living vesuvius, glabrus defeated, mentor senator, general marcus licinius crassus, greatly embarrassed lead, army slave, make way, brandisium find, silesians abandoned",60,5
191,tt0054357,Swiss Family Robinson,1960,"Adventure, Family",Ken Annakin,"Lowell S. Hawley (screenplay), Johann David Wyss (novel)","John Mills, Dorothy McGuire, James MacArthur, Janet Munro","A family in route to New Guinea is shipwrecked on a deserted tropical island. They are forced to remain on the island because of the damage to the ship and the pirates that are roaming the islands. They create a home on the island (centering around a huge tree house) and explore the island and its wildlife. Plenty of adventure ensues as the family deals with issues of survival and pirates, and the brothers must learn how to live on the island with an uncertain future.",family route new guinea shipwrecked deserted tropical island forced remain island damage ship pirate roaming island create home island centering around huge tree house explore island wildlife plenty adventure ensues family deal issue survival pirate brother must learn live island uncertain future,11404,7.2," family route new guinea, tropical island, island damage ship pirate roaming, island create home, island centering, around huge tree, house explore island wildlife, plenty adventure ensues family, deal issue survival, pirate brother, live island, uncertain future",80,4
192,tt0054594,The Absent Minded Professor,1961,"Comedy, Family, Sci-Fi",Robert Stevenson,"Bill Walsh (screenplay), Samuel W. Taylor (story)","Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk","A bumbling professor accidently invents flying rubber, or ""Flubber"", an incredible material that gains energy every time it strikes a hard surface. It allows for the invention of shoes that can allow jumps of amazing heights and enables a modified Model-T to fly. Unfortunately, no one is interested in the material except for Alonzo Hawk, a corrupt businessman who wants to steal the material for himself.",bumbling professor accidently invents flying rubber flubber incredible material gain energy every time strike hard surface allows invention shoe can allow jump amazing height enables modified modelt fly unfortunately no interested material except alonzo hawk corrupt businessman want steal material,5989,6.8," bumbling professor, incredible material gain energy, time strike, hard surface, allows invention, allow jump amazing, height enables, modelt fly, interested material, alonzo hawk, corrupt businessman, steal material",100,0
193,tt0054698,Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",Blake Edwards,"Truman Capote (based on the novel by), George Axelrod (screenplay)","Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen","Holly Golightly is a flighty Manhattan party girl, who expects ""money for the powder room as well as for cab fare"" for her companionship. She has even gotten a lucrative once weekly job to visit notorious convict Sally Tomato in Sing Sing, she needing to report back to Sally's lawyer the weather report that Sally tells her as proof of her visits with him in return for payment. Her aspirations for glamor and wealth are epitomized by the comfort she feels at Tiffany's, the famous high end jewelry retailer where she believes nothing can ever go wrong. Her resolve for this wealth is strengthened, if not changed slightly in focus, upon news from home. Into Holly's walk-up apartment building and thus her life is Paul Varjak, a writer who Holly states reminds her of her brother Fred, who she has not seen in years and who is currently enlisted in the army. The two quickly become friends in their want for something outside of their current lot. Paul's situation is closer to Holly's than he would like to admit. Having not had anything published in over five years, he is a kept man by his wealthy married ""decorator"", Emily Eustace Failenson - who he refers to as 2E - which allows him not to write, which he no longer truly does. Eventually, Paul falls for Holly, and wants to take care of her, instead of being taken care of as is his current situation. Although Holly also seems to be falling for him, the question becomes whether Paul can fulfill Holly's life aspirations, and if not what needs to change for there even to be the possibility of a future for them.",holly golightly flighty manhattan party girl expects money powder room well cab fare companionship even gotten lucrative weekly job visit notorious convict sally tomato sing sing needing report back sally lawyer weather report sally tell proof visit return payment aspiration glamor wealth epitomized comfort feel tiffany famous high end jewelry retailer belief nothing can ever go wrong resolve wealth strengthened not changed slightly focus upon news home holly walkup apartment building thus life paul varjak writer holly state reminds brother fred not seen year currently enlisted army two quickly become friend want something outside current lot paul situation closer holly like admit not anything published five year kept man wealthy married decorator emily eustace failenson refers  allows not write no longer truly eventually paul fall holly want take care instead taken care current situation although holly also seems falling question becomes whether paul can fulfill holly life aspiration not need change even possibility future,139815,7.7," golightly flighty manhattan, party girl, expects money, powder room, well cab fare, weekly job visit, notorious convict, tomato sing, needing report, lawyer weather report, proof visit, return payment, aspiration glamor wealth, epitomized comfort feel, high end jewelry retailer, belief nothing, wrong resolve wealth strengthened, news home, holly walkup apartment, life paul varjak, state reminds, seen year, become friend want, something outside, current lot paul situation, holly like admit, anything published, year kept, man wealthy, married decorator, eustace failenson, refers allows, paul fall, take care, taken care, current situation, falling question becomes, life aspiration, possibility future",100,0
194,tt0055018,The Innocents,1961,Horror,Jack Clayton,"Henry James (based on the story ""The Turn of the Screw""), John Mortimer (additional scenes & dialogue), William Archibald (screenplay), Truman Capote (screenplay)","Deborah Kerr, Peter Wyngarde, Megs Jenkins, Michael Redgrave","In Victorian England, the uncle of orphaned niece Flora and nephew Miles hires Miss Giddens as governess to raise the children at his estate with total independence and authority. Soon after her arrival, Miss Giddens comes to believe that the spirits of the former governess Miss Jessel and valet Peter Quint are possessing the children. Miss Giddens decides to help the children to face and exorcise the spirits.",victorian england uncle orphaned niece flora nephew mile hire miss giddens governess raise child estate total independence authority soon arrival miss giddens come believe spirit former governess miss jessel valet peter quint possessing child miss giddens decides help child face exorcise spirit,21897,7.9," victorian england uncle orphaned, niece flora nephew, mile hire miss giddens governess, child estate, total independence authority, soon arrival miss, giddens come, believe spirit, former governess miss jessel, valet peter quint, miss giddens, decides help child, face exorcise spirit",90,1
195,tt0055032,Jules and Jim,1962,"Drama, Romance",François Truffaut,"Henri-Pierre Roché (novel), François Truffaut (adaptation), Jean Gruault (adaptation)","Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino","In Paris, before WWI, two friends, Jules (Austrian) and Jim (French) fall in love with the same woman, Catherine. But Catherine loves and marries Jules. After the war, when they meet again in Germany, Catherine starts to love Jim... This is the story of three people in love, a love which does not affect their friendship, and about how their relationship evolves with the years.",paris wwi two friend jules austrian jim french fall love woman catherine catherine love marries jules war meet germany catherine start love jim story three people love love not affect friendship relationship evolves year,30616,7.9," friend jules, austrian jim, french fall, love woman, catherine catherine love, marries jules, war meet, catherine start, love jim, people love, not affect friendship, relationship evolves",100,2
196,tt0055254,101 Dalmatians,1961,"Animation, Adventure, Comedy","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","Bill Peet (story), Dodie Smith (novel)","Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth","Pongo and Perdita have a litter of 15 puppies. Cruella De Vil takes a fancy to the pups, and wants to get hold of them, as well as more pups, to make herself a lovely dalmatian skin coat... Cruella hires some thugs to kidnap the pups and hold them at her mansion. Will Pongo and Perdita find them in time ?",pongo perdita litter puppy cruella de vil take fancy pup want get hold well pup make lovely dalmatian skin coat cruella hire thug kidnap pup hold mansion will pongo perdita find time,127018,7.2," pongo perdita litter, puppy cruella, fancy pup, want get hold, pup make, dalmatian skin coat cruella, hire thug kidnap, pup hold, perdita find time",100,4
197,tt0055353,A Raisin in the Sun,1961,Drama,Daniel Petrie,"Lorraine Hansberry (play), Lorraine Hansberry (screenplay)","Sidney Poitier, Claudia McNeil, Ruby Dee, Diana Sands","Walter Lee Younger is a young man struggling with his station in life. Sharing a tiny apartment with his wife, son, sister and mother, he seems like an imprisoned man. Until, that is, the family gets an unexpected financial windfall...",walter lee younger young man struggling station life sharing tiny apartment wife son sister mother seems like imprisoned man family get unexpected financial windfall,5509,8.1," walter lee, young man, station life, apartment wife son sister, mother seems, imprisoned man, family get unexpected, financial windfall",100,8
198,tt0055471,Splendor in the Grass,1961,"Drama, Romance",Elia Kazan,William Inge,"Natalie Wood, Pat Hingle, Audrey Christie, Barbara Loden","It's 1928 in oil rich southeast Kansas. High school seniors Bud Stamper and Deanie Loomis are in love with each other. Bud, the popular football captain, and Deanie, the sensitive soul, are ""good"" kids who have only gone as far as kissing. Unspoken to each other, they expect to get married to each other one day. But both face pressures within the relationship, Bud who has the urges to go farther despite knowing in his heart that if they do that Deanie will end up with a reputation like his own sister, Ginny Stamper, known as the loose, immoral party girl, and Deanie who will do anything to hold onto Bud regardless of the consequences. They also face pressures from their parents who have their own expectation for their offspring. Bud's overbearing father, Ace Stamper, the local oil baron, does not believe Bud can do wrong and expects him to go to Yale after graduation, which does not fit within Bud's own expectations for himself. And the money and image conscious Mrs. Loomis just wants Deanie to get married as soon as possible to Bud so that Deanie will have a prosperous life in a rich family. When Bud makes a unilateral decision under these pressures, it leads to a path which affects both his and Deanie's future.",oil rich southeast kansa high school senior bud stamper deanie loomis love bud popular football captain deanie sensitive soul good kid gone far kissing unspoken expect get married day face pressure within relationship bud urge go farther despite knowing heart deanie will end up reputation like sister ginny stamper known loose immoral party girl deanie will anything hold onto bud regardless consequence also face pressure parent expectation offspring bud overbearing father ace stamper local oil baron not believe bud can wrong expects go yale graduation not fit within bud expectation money image conscious mr loomis just want deanie get married soon possible bud so deanie will prosperous life rich family bud make unilateral decision pressure lead path affect deanies future,15012,7.8," oil rich southeast, kansa high school, senior bud stamper deanie, loomis love bud, popular football captain deanie, sensitive soul, good kid, expect get, married day, face pressure, relationship bud urge, knowing heart, sister ginny stamper, immoral party girl deanie, anything hold, regardless consequence, face pressure parent, expectation offspring, bud overbearing, ace stamper, local oil baron, believe bud, yale graduation, bud expectation money image, conscious mr loomis, want deanie get, soon possible bud, prosperous life, rich family bud make, unilateral decision pressure, lead path, affect deanies",-100,2
199,tt0055614,West Side Story,1961,"Crime, Drama, Musical","Jerome Robbins, Robert Wise","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)","Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno","West Side Story is the award-winning adaptation of the classic romantic tragedy, ""Romeo and Juliet"". The feuding families become two warring New York City gangs- the white Jets led by Riff and the Puerto Rican Sharks, led by Bernardo. Their hatred escalates to a point where neither can coexist with any form of understanding. But when Riff's best friend (and former Jet) Tony and Bernardo's younger sister Maria meet at a dance, no one can do anything to stop their love. Maria and Tony begin meeting in secret, planning to run away. Then the Sharks and Jets plan a rumble under the highway - whoever wins gains control of the streets. Maria sends Tony to stop it, hoping it can end the violence. It goes terribly wrong, and before the lovers know what's happened, tragedy strikes and doesn't stop until the climactic and heartbreaking ending.",west side story awardwinning adaptation classic romantic tragedy romeo juliet feuding family become two warring new york city gang white jet led riff puerto rican shark led bernardo hatred escalates point neither can coexist form understanding riff best friend former jet tony bernardos younger sister maria meet dance no can anything stop love maria tony begin meeting secret planning run away shark jet plan rumble highway whoever win gain control street maria sends tony stop hoping can end violence go terribly wrong lover know whats happened tragedy strike doesnt stop climactic heartbreaking ending,81148,7.6," west side story awardwinning, adaptation classic, romantic tragedy romeo, juliet feuding, family become, new york city gang, white jet, rican shark, led bernardo hatred, understanding riff, best friend, former jet tony bernardos, younger sister maria meet, anything stop, love maria, tony begin, secret planning, away shark jet, plan rumble highway, win gain, control street maria, tony stop hoping, end violence, know whats happened, tragedy strike doesnt, climactic heartbreaking",75,3
200,tt0055630,Yojimbo,1961,"Action, Drama, Thriller",Akira Kurosawa,"Akira Kurosawa (story), Akira Kurosawa (screenplay), Ryûzô Kikushima (screenplay)","Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada","Sanjuro, a wandering samurai enters a rural town in nineteenth century Japan. After learning from the innkeeper that the town is divided between two gangsters, he plays one side off against the other. His efforts are complicated by the arrival of the wily Unosuke, the son of one of the gangsters, who owns a revolver. Unosuke has Sanjuro beaten after he reunites an abducted woman with her husband and son, then massacres his father's opponents. During the slaughter, the samurai escapes with the help of the innkeeper; but while recuperating at a nearby temple, he learns of innkeeper's abduction by Unosuke, and returns to the town to confront him.",sanjuro wandering samurai enters rural town nineteenth century japan learning innkeeper town divided two gangster play side off effort complicated arrival wily unosuke son gangster owns revolver unosuke sanjuro beaten reunites abducted woman husband son massacre father opponent slaughter samurai escape help innkeeper recuperating nearby temple learns innkeeper abduction unosuke return town confront,84714,8.3," sanjuro wandering samurai enters, rural town, nineteenth century japan learning, innkeeper town, gangster play, effort complicated arrival, wily unosuke son, gangster owns, revolver unosuke sanjuro, beaten reunites abducted woman, husband son massacre, father opponent slaughter, samurai escape help, nearby temple, innkeeper abduction, unosuke return town confront",100,7
201,tt0055928,Dr. No,1962,"Action, Adventure, Thriller",Terence Young,"Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)","Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord","James Bond (007) is Britain's top agent and is on an exciting mission, to solve the mysterious murder of a fellow agent. The task sends him to Jamaica, where he joins forces with Quarrel and a loyal CIA agent, Felix Leiter. While dodging tarantulas, ""fire breathing dragons"" and a trio of assassins, known as the three blind mice. Bond meets up with the beautiful Honey Ryder and goes face to face with the evil Dr. No.",james bond britain top agent exciting mission solve mysterious murder fellow agent task sends jamaica join force quarrel loyal cia agent felix leiter dodging tarantula fire breathing dragon trio assassin known three blind mouse bond meet up beautiful honey ryder go face face evil dr no,127213,7.3," james bond, top agent, exciting mission, solve mysterious murder, fellow agent task, jamaica join force quarrel, loyal cia agent felix, leiter dodging tarantula fire, breathing dragon trio, assassin known, mouse bond, beautiful honey ryder go, face face",100,6
202,tt0056142,King Kong vs. Godzilla,1962,"Action, Adventure, Fantasy",Ishirô Honda,"Shin'ichi Sekizawa, Paul Mason, Bruce Howard","Tadao Takashima, Kenji Sahara, Yû Fujiki, Ichirô Arishima","Mr. Tako, the chairman of a pharmaceutical company, learns the roma tomato-sized berries that grow on Farou Island are a miracle cure, and that the natives worship a god called King Kong who has allegedly grown to giant size from eating the berries. What better way to promote the product, Tako figures, than to bring the creature back to Japan? He leads an expedition with Sakurai and Furue to get the berries and the monster. Meanwhile, some American pilots discover the chunk of the glacier Godzilla was sealed in back in 1955. Sakurai's sister's boyfriend Kazuo is busy trying to sell an invisible but super-strong wire, which of course no one wants until Kong escapes...",mr tako chairman pharmaceutical company learns rom tomatosized berry grow farou island miracle cure native worship god called king kong allegedly grown giant size eating berry better way promote product tako figure bring creature back japan lead expedition sakurai furue get berry monster meanwhile american pilot discover chunk glacier godzilla sealed back sakurais sister boyfriend kazuo busy trying sell invisible superstrong wire course no want kong escape,6306,5.9," mr tako chairman, pharmaceutical company, tomatosized berry, farou island miracle cure, native worship god called, king kong, giant size eating berry, way promote product, tako figure bring creature, back japan lead, expedition sakurai, furue get, american pilot, chunk glacier godzilla, back sakurais sister, boyfriend kazuo, busy trying, sell invisible, superstrong wire course, want kong escape",100,6
203,tt0056172,Lawrence of Arabia,1962,"Adventure, Biography, Drama",David Lean,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins","Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.",due knowledge native bedouin tribe british lieutenant   lawrence sent arabia find prince faisal serve liaison arab british fight turk aid native sherif ali lawrence rebel order superior officer strike daring camel journey across harsh desert attack wellguarded turkish port,221961,8.3," due knowledge, native bedouin tribe, lieutenant lawrence, find prince faisal serve, british fight turk aid, native sherif ali lawrence, rebel order, superior officer strike daring, camel journey, harsh desert attack wellguarded, turkish port",93.75,5
204,tt0056193,Lolita,1962,"Crime, Drama, Romance",Stanley Kubrick,"Vladimir Nabokov (screenplay), Vladimir Nabokov (novel)","James Mason, Shelley Winters, Sue Lyon, Gary Cockrell","Humbert Humbert forces a confrontation with a man, whose name he has just recently learned, in this man's home. The events that led to this standoff began four years earlier. Middle aged Humbert, a European, arrives in the United States where he has secured at job at Beardsley College in Beardsley, Ohio as a Professor of French Literature. Before he begins his post in the fall, he decides to spend the summer in the resort town of Ramsdale, New Hampshire. He is given the name of Charlotte Haze as someone who is renting a room in her home for the summer. He finds that Charlotte, widowed now for seven years, is a woman who puts on airs. Among the demonstration of those airs is throwing around the name of Clare Quilty, a television and stage script writer, who came to speak at her women's club meeting and who she implies is now a friend. Those airs also mask being lonely, especially as she is a sexually aggressive and liberated woman. Humbert considers Charlotte a proverbial ""joke"" but decides to rent the room upon meeting Charlotte's provocative daughter, Dolores Haze - more frequently referred to as Lolita - who he first spots in a bikini tanning in the back yard. He is immediately infatuated with Lolita, with who he becomes obsessed in a sexual manner despite her age, she being just into her teens. He will also learn that Charlotte has the exact same feelings for him. While Charlotte does whatever she can to be alone with Humbert, Humbert does the same with Lolita. As the summer progresses, Humbert, based on the circumstances, decides to enter into a relationship with Charlotte just to be near Lolita. In that new arrangement, Humbert has to figure out how to achieve his goal of being with Lolita with Charlotte out of the way. As things begin to go Humbert's way, he is unaware that Charlotte is not the only thing standing in his way between him and Lolita, that other thing being Lolita's possible interest in other boys, and other members of the male sex, young or old, who may have their own designs on Lolita.",humbert humbert force confrontation man whose name just recently learned man home event led standoff began four year earlier middle aged humbert european arrives united state secured job beardsley college beardsley ohio professor french literature begin post fall decides spend summer resort town ramsdale new hampshire given name charlotte haze someone renting room home summer find charlotte widowed now seven year woman put air among demonstration air throwing around name clare quilty television stage script writer came speak woman club meeting implies now friend air also mask lonely especially sexually aggressive liberated woman humbert considers charlotte proverbial joke decides rent room upon meeting charlotte provocative daughter dolores haze frequently referred lolita first spot bikini tanning back yard immediately infatuated lolita becomes obsessed sexual manner despite age just teen will also learn charlotte exact feeling charlotte whatever can alone humbert humbert lolita summer progress humbert based circumstance decides enter relationship charlotte just near lolita new arrangement humbert figure achieve goal lolita charlotte way thing begin go humberts way unaware charlotte not thing standing way lolita thing lolita possible interest boy member male sex young old may design lolita,76620,7.6," humbert humbert force, confrontation man, learned man, home event, led standoff began, middle aged, european arrives, united state, secured job, beardsley college beardsley, ohio professor, french literature, begin post, fall decides, spend summer, resort town, new hampshire, given name, charlotte haze someone, renting room, home summer, find charlotte widowed, year woman, put air, demonstration air, name clare quilty, television stage, script writer, speak woman club meeting, friend air, aggressive liberated, woman humbert considers, proverbial joke decides rent, provocative daughter dolores haze, referred lolita, spot bikini tanning, lolita becomes, sexual manner, learn charlotte, exact feeling, humbert humbert, lolita summer progress humbert based, circumstance decides, enter relationship, new arrangement, humbert figure, achieve goal, lolita charlotte, way thing begin, humberts way, unaware charlotte, thing standing, way lolita thing, lolita possible interest, boy member male, sex young, design lolita",40,3
205,tt0056218,The Manchurian Candidate,1962,"Drama, Thriller",John Frankenheimer,"Richard Condon (based upon a novel by), George Axelrod (screenplay)","Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury","Major Ben Marco (Frank Sinatra) is an intelligence officer in the U.S. Army. He served valiantly as a captain in the Korean war and his Sergeant, Raymond Shaw (Laurence Harvey), even won the Medal of Honor. Marco has a major problem however: he has a recurring nightmare, one where two members of his squad are killed by Shaw. He's put on indefinite sick leave and visits Shaw in New York. Shaw for his part has established himself well, despite the misgivings of his domineering mother, Mrs. Eleanor Shaw Iselin (Angela Lansbury). She is a red-baiter, accusing anyone who disagrees with her right-wing reactionary views of being a Communist. Raymond hates her, not only for how she's treated him but equally because of his step-father, the ineffectual U.S. Senator John Iselin (James Gregory), who is intent on seeking higher office. When Marco learns that others in his Korean War unit have nightmares similar to his own, he realizes that something happened to all of them in Korea and that Raymond Shaw is the focal point.",major ben marco frank sinatra intelligence officer   army served valiantly captain korean war sergeant raymond shaw laurence harvey even won medal honor marco major problem however recurring nightmare two member squad killed shaw he put indefinite sick leave visit shaw new york shaw part established well despite misgiving domineering mother mr eleanor shaw iselin angela lansbury redbaiter accusing anyone disagrees rightwing reactionary view communist raymond hate not shes treated equally stepfather ineffectual   senator john iselin james gregory intent seeking higher office marco learns others korean war unit nightmare similar realizes something happened korea raymond shaw focal point,64935,8," major ben marco frank, sinatra intelligence officer army served, korean war, sergeant raymond shaw laurence harvey, won medal, honor marco major problem, member squad, killed shaw, indefinite sick, leave visit, new york, shaw part, domineering mother, mr eleanor shaw, iselin angela lansbury, redbaiter accusing, anyone disagrees, reactionary view, communist raymond hate, shes treated, ineffectual senator john iselin, james gregory intent, higher office marco learns, others korean war, unit nightmare, similar realizes something happened, korea raymond shaw, focal point",91.4286,8
206,tt0056443,Sanjuro,1962,"Action, Crime, Drama",Akira Kurosawa,"Ryûzô Kikushima (screenplay), Hideo Oguni (screenplay), Akira Kurosawa (screenplay), Shûgorô Yamamoto (novel)","Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûzô Kayama","A group of idealistic young men, determined to clean up the corruption in their town, are aided by a scruffy, cynical samurai who does not at all fit their concept of a noble warrior.",group idealistic young men determined clean up corruption town aided scruffy cynical samurai not fit concept noble warrior,23334,8.2," group idealistic, young men, corruption town, cynical samurai, not fit concept, noble warrior",50,7
